Motor Vehicle Collision Report Manhattan Intersections,,,,,,,,,,,,,,,,,,,,,,
January   2016,,,,,,,,,,,,,,,,,,,,,,
Collisions Data,,,,,,,,,,,,,,,,,,,,,,
OccurrencePrecinctCode,CollisionID,CollisionKey,Collision_ at_Intersection,IntersectionAddress,IntersectingStreet,CrossStreet,CollisionVehicleCount,CollisionInjuredCount,CollisionKilledCount,Vehicles_or_MotoristsInvolved,PersonsInjured,PersonsKilled,MotoristsInjured,MotoristsKilled,PassengInjured,PassengKilled,CyclistsInjured,CyclistsKilled,PedestrInjured,PedestrKilled,Injury_or_Fatal,Bicycle
001,2016001000081 ,149341852,1,BEEKMAN STREET&&GOLD STREET,GOLD STREET,BEEKMAN STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000113 ,149444575,1,BEEKMAN STREET&&NASSAU STREET,BEEKMAN STREET,NASSAU STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000163 ,149782502,2,BEEKMAN STREET&&NASSAU STREET,BEEKMAN STREET,NASSAU STREET,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000031 ,149122706,1,BEEKMAN STREET&&PEARL STREET,PEARL STREET,BEEKMAN STREET,2,2,0,2,2,0,0,0,2,0,0,0,0,0,1,0
001,2016001000186 ,149852757,1,BEEKMAN STREET&&SOUTH STREET,SOUTH STREET,BEEKMAN STREET,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000147 ,149674008,1,BEEKMAN STREET&&WATER STREET,BEEKMAN STREET,WATER STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000166 ,149816252,1,BEEKMAN STREET&&WILLIAM STREET,WILLIAM STREET,BEEKMAN STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000168 ,149816254,1,BROAD STREET&&MARKETFIELD STREET,MARKETFIELD STREET,BROAD STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000130 ,149617213,1,BROAD STREET&&SOUTH STREET,BROAD STREET,SOUTH STREET,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000086 ,149341857,1,BROAD STREET&&WATER STREET,WATER STREET,BROAD STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000091 ,149375982,2,BROAD STREET&&WATER STREET,WATER STREET,BROAD STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000116 ,149465925,1,BROADWAY&&BROOME STREET,BROADWAY,BROOME STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000169 ,149816255,1,BROADWAY&&CANAL STREET,BROADWAY,CANAL STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000172 ,149816258,2,BROADWAY&&CANAL STREET,CANAL STREET,BROADWAY,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000012 ,149026105,1,BROADWAY&&CHAMBERS STREET,BROADWAY,CHAMBERS STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000050 ,149204344,2,BROADWAY&&CHAMBERS STREET,CHAMBERS STREET,BROADWAY,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000052 ,149204346,3,BROADWAY&&CHAMBERS STREET,CHAMBERS STREET,BROADWAY,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000115 ,149465924,4,BROADWAY&&CHAMBERS STREET,CHAMBERS STREET,BROADWAY,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
001,2016001000149 ,149674010,5,BROADWAY&&CHAMBERS STREET,CHAMBERS STREET,BROADWAY,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000200 ,149927676,6,BROADWAY&&CHAMBERS STREET,BROADWAY,CHAMBERS STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000070 ,149305722,1,BROADWAY&&DUANE STREET,DUANE STREET,BROADWAY,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000156 ,149697075,1,BROADWAY&&FRANKLIN STREET,BROADWAY,FRANKLIN STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000083 ,149341854,1,BROADWAY&&FULTON STREET,BROADWAY,FULTON STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000045 ,149155749,1,BROADWAY&&JOHN STREET,BROADWAY,JOHN STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
